               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034755,           0.0061513,                   0,              0.7634,             0.75514,             0.76818,             0.36221,            0.039508,           0.0063952,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.036706,           0.0059326,                   0,             0.84604,             0.70151,             0.79515,             0.33678,            0.039653,           0.0063551,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,             0.03338,           0.0060745,                   0,             0.84194,             0.68085,             0.72158,             0.30319,            0.041194,           0.0066197,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.037144,           0.0062376,                   0,             0.83291,             0.69149,             0.73238,             0.33802,             0.03919,           0.0067589,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.036171,           0.0059689,                   0,             0.78309,             0.69134,               0.716,             0.34496,            0.038737,           0.0069092,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.033494,            0.005627,                   0,             0.79484,             0.74468,             0.76905,             0.37872,            0.037417,            0.006873,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,            0.033199,           0.0061798,                   0,             0.76561,             0.76596,             0.75067,             0.35005,            0.037366,            0.006502,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.032194,           0.0060898,                   0,             0.79135,             0.80851,             0.78297,             0.36479,            0.036887,           0.0066119,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.032695,           0.0057487,                   0,             0.69857,             0.74468,             0.69557,             0.28905,             0.04024,           0.0064019,                   0,           0.0063432,           0.0063432,           0.0063432
                  46,            0.030696,           0.0053562,                   0,             0.76915,             0.74434,             0.76547,             0.36814,            0.038094,           0.0064564,                   0,            0.006204,            0.006204,            0.006204
                  47,             0.02868,             0.00525,                   0,             0.69998,             0.81909,              0.7771,             0.35311,            0.037983,            0.006369,                   0,            0.006064,            0.006064,            0.006064
                  48,            0.030367,           0.0057231,                   0,             0.79771,             0.75512,              0.8069,             0.39001,            0.035956,           0.0062598,                   0,           0.0059235,           0.0059235,           0.0059235
                  49,            0.029938,           0.0059681,                   0,             0.71818,             0.78723,             0.79185,             0.37815,            0.036577,           0.0064821,                   0,           0.0057826,           0.0057826,           0.0057826
                  50,             0.02853,            0.005413,                   0,             0.74188,             0.73384,             0.76252,             0.33814,            0.039029,           0.0067821,                   0,           0.0056413,           0.0056413,           0.0056413
                  51,            0.028741,           0.0057714,                   0,             0.66358,             0.79787,             0.75474,             0.37484,            0.037343,           0.0068608,                   0,              0.0055,              0.0055,              0.0055
                  52,            0.028771,           0.0053484,                   0,              0.7528,             0.71273,             0.75036,             0.37469,            0.037248,           0.0068965,                   0,           0.0053587,           0.0053587,           0.0053587
                  53,            0.028507,           0.0054043,                   0,              0.7068,              0.7234,             0.72576,             0.35947,            0.038569,           0.0067719,                   0,           0.0052174,           0.0052174,           0.0052174
                  54,            0.027935,           0.0054425,                   0,              0.8461,             0.70182,             0.79854,             0.39149,            0.037569,            0.006562,                   0,           0.0050765,           0.0050765,           0.0050765
                  55,            0.029274,           0.0053655,                   0,             0.79543,             0.74456,             0.79306,             0.38479,            0.038211,           0.0068611,                   0,            0.004936,            0.004936,            0.004936
                  56,            0.027615,            0.005697,                   0,             0.83539,             0.70184,             0.76656,               0.355,            0.038227,           0.0067453,                   0,            0.004796,            0.004796,            0.004796
                  57,            0.028751,           0.0053452,                   0,             0.83333,             0.69145,             0.75402,             0.31632,            0.039299,           0.0068764,                   0,           0.0046568,           0.0046568,           0.0046568
                  58,            0.027382,           0.0053902,                   0,             0.79308,             0.73404,             0.75969,             0.35313,            0.037161,            0.006966,                   0,           0.0045184,           0.0045184,           0.0045184
                  59,            0.028763,           0.0053191,                   0,             0.82096,             0.73404,             0.76555,             0.33784,            0.037069,           0.0068707,                   0,           0.0043809,           0.0043809,           0.0043809
                  60,            0.028844,           0.0058106,                   0,             0.69364,             0.81894,             0.76792,             0.36917,            0.036485,           0.0067245,                   0,           0.0042445,           0.0042445,           0.0042445
                  61,            0.027217,           0.0049106,                   0,             0.72112,             0.79775,             0.74534,             0.33267,            0.038407,           0.0066413,                   0,           0.0041094,           0.0041094,           0.0041094
                  62,            0.027032,           0.0060372,                   0,             0.75241,             0.80851,             0.79029,             0.37633,             0.03694,           0.0068149,                   0,           0.0039757,           0.0039757,           0.0039757
                  63,            0.028135,           0.0046026,                   0,             0.73264,              0.7871,             0.77717,             0.38471,            0.035703,            0.006523,                   0,           0.0038434,           0.0038434,           0.0038434
                  64,            0.026759,           0.0055535,                   0,             0.72111,             0.79787,             0.76423,             0.36591,            0.036352,           0.0066817,                   0,           0.0037128,           0.0037128,           0.0037128
                  65,            0.025828,           0.0053495,                   0,             0.78772,             0.71277,             0.76256,             0.34741,            0.038212,           0.0069056,                   0,            0.003584,            0.003584,            0.003584
                  66,            0.025645,           0.0046117,                   0,             0.73451,             0.76596,             0.76118,             0.37008,            0.036997,           0.0068723,                   0,            0.003457,            0.003457,            0.003457
                  67,            0.025874,           0.0049745,                   0,             0.72157,             0.74468,              0.7197,             0.36132,            0.037584,           0.0068714,                   0,           0.0033321,           0.0033321,           0.0033321
                  68,            0.026898,           0.0048618,                   0,             0.76401,             0.72325,             0.75208,             0.36593,            0.037641,           0.0070448,                   0,           0.0032093,           0.0032093,           0.0032093
                  69,            0.025785,           0.0049646,                   0,             0.74973,             0.76596,             0.75864,             0.35716,            0.038046,           0.0070956,                   0,           0.0030888,           0.0030888,           0.0030888
                  70,            0.025722,           0.0051386,                   0,             0.83693,             0.70984,             0.75406,             0.34538,            0.038094,           0.0071157,                   0,           0.0029706,           0.0029706,           0.0029706
                  71,            0.025616,           0.0045587,                   0,             0.78483,              0.7766,             0.77276,             0.35898,            0.038221,           0.0070308,                   0,            0.002855,            0.002855,            0.002855
                  72,            0.024665,           0.0052748,                   0,             0.79954,             0.76377,              0.7746,              0.3542,            0.038644,           0.0068001,                   0,           0.0027419,           0.0027419,           0.0027419
                  73,            0.024234,           0.0049393,                   0,             0.77892,              0.7871,             0.78818,             0.35707,            0.037977,           0.0067532,                   0,           0.0026316,           0.0026316,           0.0026316
                  74,            0.022804,            0.004535,                   0,             0.76279,             0.78723,             0.79298,             0.36463,            0.038346,           0.0068469,                   0,           0.0025241,           0.0025241,           0.0025241
                  75,            0.022821,           0.0046072,                   0,             0.79731,             0.79787,             0.80789,             0.38115,              0.0371,           0.0068762,                   0,           0.0024195,           0.0024195,           0.0024195
                  76,            0.023664,           0.0050925,                   0,             0.73518,             0.79787,             0.78317,             0.37781,            0.038014,           0.0068626,                   0,            0.002318,            0.002318,            0.002318
